Directory,Image Count
"$RECYCLE.BIN",0
"Acacia_dealbata",634
"Acacia_elata",527
"Acacia_floribunda",398
"Acacia_paradoxa",731
"Acacia_saligna",301
"Acaciella_angustissima",705
"Acanthocereus_tetragonus",370
"Achyranthes_aspera",697
"Aeonium_haworthii",290
"Aerva_javanica",714
"Agave_americana",421
"Aizoon_pubescens",228
"Alisma_lanceolatum",218
"Alisma_plantago_aquatica",144
"Alstroemeria_aurea",339
"Alternanthera_brasiliana",704
"Alternanthera_denticulata",720
"Alternanthera_philoxeroides",229
"Alternanthera_pungens",512
"Amaranthus_spinosus",549
"Amaranthus_viridis",730
"Ambrosia_psilostachya",380
"Ambrosia_tenuifolia",216
"Annona_glabra",408
"Arbutus_unedo",614
"Argemone_mexicana",476
"Argemone_ochroleuca",256
"Aristotelia_chilensis",694
"Artemisia_verlotiorum",531
"Asparagus_virgatus",152
"Austrocylindropuntia_cylindrica",414
"Austrocylindropuntia_subulata",366
"Azolla",154
"Barleria_lupulina",329
"Barleria_prionitis",605
"Berberis_oiwakensis",471
"Bryophyllum_pinnatum",0
"Bryophyllum_x_houghtonii",364
"Cabomba_caroliniana",90
"Casuarina_equisetifolia",357
"Casuarina_glauca",592
"Celtis_australis",709
"Celtis_sinensis",476
"Centaurium_erythraea",153
"Cereus_uruguayanus",108
"Chasmanthe_floribunda",404
"Chenopodium_capitatum",953
"Coprosma_robusta",408
"Cupaniopsis_anacardioides",417
"Cycloloma_atriplicifolium",488
"Cylindropuntia_imbricata",374
"Cylindropuntia_kleiniae",386
"Cylindropuntia_leptocaulis",210
"Cylindropuntia_pallida",185
"Cylindropuntia_prolifera",480
"Cylindropuntia_tunicata",290
"Datura_ferox",868
"Datura_innoxia",330
"Datura_stramonium",491
"Desmanthus_pernambucanus",79
"Disa_bracteata",85
"Disphyma_crassifolium",573
"Duma_florulenta",770
"Egeria_densa",121
"Eleocharis_pusilla",318
"Elodea_canadensis",354
"Erodium_botrys",165
"Erodium_crinitum",198
"Erodium_moschatum",190
"Fallopia_japonica",746
"Ficus_carica",350
"Fraxinus_griffithii",306
"Fraxinus_ornus",500
"Galium_aparine",707
"Glandularia_aristigera",783
"Glochidion_ferdinandi",604
"Hakea_oleifolia",202
"Hakea_petiolaris",194
"Hakea_salicifolia",537
"Harrisia_martinii",403
"Heteranthera_reniformis",727
"Hibiscus_heterophyllus",537
"Hydrocleys_nymphoides",306
"Hydrocotyle_ranunculoides",619
"Hymenosporum_flavum",406
"Hypericum_perforatum",218
"Ilex_aquifolium",367
"Jagera_pseudorhus",252
"Koelreuteria_elegans_subsp_formosana",535
"Lagarosiphon_major",246
"Lemna",330
"Leonotis_nepetifolia",367
"Ligustrum_vulgare",361
"Lilium_formosanum",128
"Limnobium_laevigatum",352
"Limnobium_spongia",444
"Limnocharis_flava",300
"Limonium_hyblaeum",169
"Limonium_lobatum",588
"Limonium_sinuatum",878
"Ludwigia_hyssopifolia",357
"Ludwigia_longifolia",180
"Ludwigia_octovalvis",472
"Ludwigia_peploides",356
"Ludwigia_peruviana",385
"Lupinus_cosentinii",254
"Lythrum_salicaria",165
"Macroptilium_atropurpureum",169
"Macroptilium_lathyroides",170
"Magician Launcher.app",0
"Malva_parviflora",204
"Malvastrum_americanum",185
"Malvella_leprosa",330
"Marrubium_vulgare",341
