Directory,Image Count
"_acaena_novae-zelandiae",292
"_acanthospermum_hispidum",512
"_achillea_millefolium",446
"_achyranthes_aspera",882
"_aerva_javanica",880
"_agapanthus_praecox",705
"_ageratina_adenophora",905
"_ageratina_riparia",546
"_ageratum_conyzoides",879
"_ageratum_houstonianum",869
"_aizoon_pubescens",234
"_allium_triquetrum",589
"_allium_vineale",851
"_aloe_maculata",883
"_Cordia_curassavica",771
"_trachyandra_divaricata",813
"_tradescantia_fluminensis",826
"_tragopogon_dubius",561
"_tragopogon_porrifolius",601
"_trianthema_portulacastrum",644
"_tribulus_cistoides",662
"_tridax_procumbens",416
"_trifolium_arvense",538
"_trifolium_campestre",445
"_trifolium_repens",458
"_trifolium_vesiculosum",560
"_typha_domingensis",534
"_Typha_latifolia",448
"_typha_orientalis",515
"_verbena_bonariensis",580
"_verbesina_encelioides",666
"_veronica_arvensis",482
"_veronica_persica",560
"_vicia_villosa",513
"_vinca_major",782
"_viola_odorata",576
"_wachendorfia_thyrsiflora",692
"_waltheria_indica",833
"_watsonia_meriana",864
"_xanthium_occidentale",556
"_xanthium_spinosum",899
"_xanthium_strumarium",884
"_xerochrysum_viscosum",892
"_youngia_japonica",556
"_zantedeschia_aethiopica",840
"$RECYCLE.BIN",0
"abutilon_grandifolium",579
"Acacia_baileyana",695
"Acacia_dealbata",667
"Acacia_elata",551
"Acacia_floribunda",403
"Acacia_paradoxa",775
"Acacia_saligna",311
"acacia_verticillata",696
"Acaciella_angustissima",806
"acaena_novae-zelandiae",338
"Acanthocereus_tetragonus",370
"acanthospermum_hispidum",512
"Acer_negundo",522
"Acer_pseudoplatanus",503
"achillea_millefolium",446
"Achyranthes_aspera",789
"Aeonium_haworthii",290
"Aerva_javanica",786
"agapanthus_praecox",705
"Agave_americana",421
"ageratina_adenophora",937
"ageratina_riparia",546
"ageratum_conyzoides",914
"ageratum_houstonianum",917
"Ailanthus_altissima",513
"Aizoon_pubescens",228
"Albizia_julibrissin",528
"Albizia_lebbeck",624
"alhagi_maurorum",201
"Alisma_lanceolatum",217
"Alisma_plantago_aquatica",144
"allium_triquetrum",602
"allium_vineale",860
"aloe_maculata",927
"Alstroemeria_aurea",339
"Alternanthera_brasiliana",704
"Alternanthera_denticulata",720
"Alternanthera_ficoidea",1203
"Alternanthera_philoxeroides",229
"Alternanthera_pungens",513
"Alysicarpus",980
"Amaranthus_albus",1004
"Amaranthus_powellii",815
"Amaranthus_retroflexus",722
"Amaranthus_viridis",735
"Ambrosia_artemisiifolia",542
"Ambrosia_confertiflora",453
"Ammi_majus",397
"Amsinckia_calycina",702
"Anigozanthos_flavidus",438
"Annona_glabra",412
"Arbutus_unedo",619
"Arctotheca_calendula",816
"Ardisia_elliptica",737
"Argemone_mexicana",481
"Argemone_ochroleuca",260
"Aristea_ecklonii",1192
"Aristotelia_chilensis",708
"Arum_italicum",368
"Asclepias_curassavica",705
"Asparagus_aethiopicus",514
"Asparagus_africanus",266
"Asparagus_plumosus",404
"Asphodelus_fistulosus",347
"Asystasia_gangetica_subsp_micrantha",358
"Atriplex_prostrata",302
"Austrocylindropuntia_cylindrica",414
"Austrocylindropuntia_subulata",366
"austroeupatorium_inulifolium",734
"Azadirachta_indica",279
"Azolla",154
"Baccharis_halimifolia",349
"Barleria_lupulina",335
"Barleria_prionitis",612
"Bassia_scoparia",373
"Bellardia_viscosa",485
"Bellis_perennis",288
"Berberis_oiwakensis",477
"Berkheya_rigida",665
"Bidens_pilosa",635
"billardiera_fusiformis",683
"billardiera_heterophylla",491
"Brassica_fruticulosa",662
"Brassica_tournefortii",1010
"Broussonetia_papyrifera",712
"Bryophyllum_delagoense",459
"Bryophyllum_pinnatum",283
"Bryophyllum_x_houghtonii",364
"Bulbine_frutescens",691
"bursaria_spinosa",620
"Cabomba_caroliniana",91
"Cakile_maritima",892
"calicotome_spinosa",881
"Callisia_fragrans",887
"Callisia_repens",896
"calluna_vulgaris",989
"calotropis_procera",956
"Calyptocarpus_vialis",1028
"Canna_indica",646
"Capsella_bursa-pastoris",556
"Cardamine_hirsuta",773
"Carduus_nutans",763
"Carduus_pycnocephalus",947
"Carduus_tenuiflorus",1290
"Carrichtera_annua",1379
"Carthamus_lanatus",641
"cascabela_thevetia",691
"cassinia_aculeata",1043
"cassinia_longifolia",760
"cassinia_sifton",892
"Casuarina_equisetifolia",371
"Casuarina_glauca",616
"Catharanthus_roseus",623
"Celtis_australis",739
"Celtis_sinensis",511
"Centaurea_calcitrapa",470
"Centaurea_solstitialis",963
"Centaurea_stoebe",758
"Centaurea_x_moncktonii",426
"Centaurium_erythraea",169
"Centella",746
"Cerastium_glomeratum",668
"Cereus_uruguayanus",108
"cestrum_elegans",404
"cestrum_parqui",721
"Chamaecrista_rotundifolia",768
"Chamaecytisus_proliferus",614
"Chasmanthe_bicolor",285
"Chasmanthe_floribunda",404
"Chenopodium_album",273
"Chondrilla_juncea",429
"Chorispora_tenella",767
"Chromolaena_odorata",104
"Chrysocephalum_apiculatum",540
"Cichorium_intybus",473
"Cinnamomum_camphora",124
"Cirsium_arvense",505
"Cirsium_vulgare",452
"Cistus_creticus",807
"Citrullus_amarus",546
"Citrullus_colocynthis",647
"Citrullus_lanatus",933
"Clematis_microphylla",616
"Clerodendrum_paniculatum",798
"Clitoria_ternatea",590
"coleus_graveolens",264
"Commelina_benghalensis",634
"Commelina_cyanea",509
"Commelina_diffusa",508
"Conium_maculatum",522
"Convolvulus_arvensis",657
"coprosma_repens",680
"Coprosma_robusta",448
"Cordia_curassavica",771
"Coreopsis_lanceolata",584
"Cotoneaster_glaucophyllus",903
"Cotula_australis",411
"Cotula_turbinata",353
"Crassocephalum_crepidioides",602
"Crassula_colorata",345
"Crataegus_monogyna",520
"Crepis_capillaris",430
"Crocosmia_×_crocosmiiflora",495
"Crotalaria_incana",341
"Crotalaria_lanceolata",382
"Crotalaria_pallida",620
"Croton_hirtus",465
"Cucumis_myriocarpus",614
"Cupaniopsis_anacardioides",442
"Cyanthillium_cinereum",357
"Cycloloma_atriplicifolium",653
"Cyclospermum_leptophyllum",386
"Cylindropuntia_imbricata",374
"Cylindropuntia_kleiniae",386
"Cylindropuntia_leptocaulis",210
"Cylindropuntia_pallida",185
"Cylindropuntia_prolifera",480
"Cylindropuntia_tunicata",290
"Cynara_cardunculus",674
"Cynoglossum_creticum",423
"cytisus_multiflorus",536
"cytisus_scoparius",574
"cytisus_striatus",465
"Datura_ferox",873
"Datura_innoxia",337
"Datura_stramonium",497
"Daucus_carota",400
"Delonix_regia",324
"Desmanthus_pernambucanus",87
"Desmodium_incanum",409
"desmodium_rhytidophyllum",424
"Desmodium_tortuosum",516
"Desmodium_uncinatum",433
"Dichondra_repens",311
"Dietes_iridioides",471
"Digitalis_purpurea",515
"Dimorphotheca_ecklonis",603
"Diplotaxis_tenuifolia",571
"Dipsacus_fullonum",743
"Disa_bracteata",88
"Disphyma_crassifolium",573
"Dittrichia_graveolens",358
"Dittrichia_viscosa",503
"Dovyalis_caffra",9
"Dracaena_trifasciata",534
"Drymaria_cordata",408
"Duma_florulenta",780
"duranta_erecta",629
"Dyschoriste_depressa",372
"Dysphania_pumilio",334
"Echium_plantagineum",669
"Echium_vulgare",589
"Eclipta_prostrata",642
"Egeria_densa",121
"Eleocharis_pusilla",331
"Elephantopus_mollis",485
"Elodea_canadensis",361
"Emilia_sonchifolia",406
"Enchylaena_tomentosa",856
"Epilobium_billardiereanum",279
"Epilobium_hirsutum",683
"Equisetum",478
"Equisetum_arvense",658
"Erica_arborea",253
"erica_baccans",860
"erica_cinerea",543
"erica_lusitanica",483
"erica_mauritanica",471
"erica_quadrangularis",639
"erica_scoparia",481
"erica_vagans",499
"Erigeron_bonariensis",575
"Erigeron_canadensis",652
"Erigeron_sumatrensis",546
"Erodium_botrys",167
"Erodium_cicutarium",402
"Erodium_crinitum",198
"Erodium_moschatum",196
"Eryngium_ovinum",854
"Euchiton_japonicus",360
"Euchiton_sphaericus",452
"Eugenia_uniflora",513
"Euphorbia_cyathophora",640
"Euphorbia_esula",34
"Euphorbia_heterophylla",727
"Euphorbia_hirta",393
"Euphorbia_hyssopifolia",384
"Euphorbia_lathyris",542
"Euphorbia_maculata",486
"Euphorbia_oblongata",827
"Euphorbia_ophthalmica",488
"Euphorbia_paralias",721
"Euphorbia_peplus",391
"Euphorbia_platyphyllos",428
"Euphorbia_prostrata",447
"Euphorbia_terracina",411
"Fallopia_japonica",774
"Ficinia_nodosa",465
"Ficus_carica",373
"Foeniculum_vulgare",705
"Fraxinus_angustifolia",329
"Fraxinus_griffithii",331
"Fraxinus_ornus",512
"Fumaria",453
"Galinsoga_parviflora",507
"Galium_aparine",730
"Galium_spurium",452
"Galium_tricornutum",323
"Gamochaeta",416
"Gazania",781
"Geissorhiza_aspera",524
"genista_linifolia",758
"genista_monspessulana",664
"Gladiolus_carneus",536
"Gladiolus_tristis",259
"Glandularia_aristigera",792
"Gleditsia_triacanthos",376
"Glochidion_ferdinandi",641
"Gloriosa_superba",845
"Gomphocarpus_cancellatus",886
"gomphocarpus_fruticosus",370
"gomphocarpus_physocarpus",541
"Gomphrena_celosioides",509
"Goodenia_ovata",599
"grewia_asiatica",275
"Grona_triflora",662
"Gymnocoronis_spilanthoides",965
"Hackelia_latifolia",588
"Hakea_oleifolia",207
"Hakea_petiolaris",197
"Hakea_salicifolia",556
"Halogeton_glomeratus",453
"Harrisia_martinii",403
"Harrisia_pomanensis",668
"Helenium_amarum",713
"Heliotropium_amplexicaule",761
"Heliotropium_europaeum",719
"Helminthotheca_echioides",824
"Heracleum_mantegazzianum",423
"Heteranthera_reniformis",749
"Hibiscus_heterophyllus",594
"Hibiscus_trionum",577
"Hirschfeldia_incana",558
"Homalanthus_populifolius",561
"Hydrocleys_nymphoides",317
"Hydrocotyle_bonariensis",561
"Hydrocotyle_hirta",560
"Hydrocotyle_laxiflora",499
"Hydrocotyle_ranunculoides",672
"Hymenosporum_flavum",441
"hypericum_androsaemum",495
"Hypericum_perforatum",223
"Hypericum_tetrapterum",519
"Hypochaeris_glabra",460
"Hypochaeris_radicata",669
"Ibicella_lutea",417
"Ilex_aquifolium",441
"Impatiens_balfourii",548
"indigofera_australis",700
"Indigofera_spicata",618
"Iris_pseudacorus",419
"Ixia_polystachya",548
"Jagera_pseudorhus",292
"jatropha_curcas",560
"Juglans_ailantifolia",301
"Kniphofia_uvaria",494
"Koelreuteria_elegans_subsp_formosana",604
"Lachenalia_reflexa",399
"Lactuca_saligna",400
"Lactuca_serriola",936
"Lagarosiphon_major",248
"Lamium_amplexicaule",402
"lantana_camara",656
"lantana_montevidensis",701
"lavandula_dentata",462
"Lavandula_stoechas",386
"Lemna",351
"Leonotis_nepetifolia",378
"Leptospermum_laevigatum",379
"leptospermum_polygalifolium",499
"Leucaena_leucocephala",503
"Ligustrum_lucidum",579
"Ligustrum_sinense",533
"Ligustrum_vulgare",361
"Lilium_formosanum",133
"Limnobium_laevigatum",368
"Limnobium_spongia",445
"Limnocharis_flava",300
"Limonium_hyblaeum",182
"Limonium_lobatum",589
"Limonium_sinuatum",886
"lonicera_maackii",428
"lonicera_tatarica",483
"Ludwigia_hyssopifolia",358
"Ludwigia_longifolia",187
"Ludwigia_octovalvis",482
