Directory,Image Count
"__results",0
"$RECYCLE.BIN",0
"Abutilon_grandifolium",977
"Acacia_baileyana",972
"Acacia_dealbata",1173
"Acacia_elata",1238
"Acacia_floribunda",1067
"Acacia_longifolia",902
"Acacia_paradoxa",986
"Acacia_provincialis",504
"Acacia_saligna",950
"Acacia_verticillata",1099
"Acaciella_angustissima",1280
"Acaena_novae-zelandiae",354
"Acanthocereus_tetragonus",883
"Acanthospermum_hispidum",525
"Acer_negundo",684
"Acer_pseudoplatanus",939
"Achillea_millefolium",469
"Achyranthes_aspera",947
"Aeonium_haworthii",487
"Aerva_javanica",936
"Agapanthus_praecox",833
"Agave_americana",919
"Ageratina_adenophora",968
"Ageratina_riparia",625
"Ageratum_conyzoides",974
"Ageratum_houstonianum",955
"Agrostis_capillaris",697
"Agrostis_gigantea",1309
"Ailanthus_altissima",934
"Aizoon_pubescens",255
"Albizia_julibrissin",960
"Albizia_lebbeck",957
"Alhagi_maurorum",254
"Alisma_lanceolatum",955
"Alisma_plantago_aquatica",951
"Allium_triquetrum",632
"Allium_vineale",934
"Aloe_maculata",953
"Alstroemeria_aurea",974
"Alternanthera_brasiliana",937
"Alternanthera_denticulata",953
"Alternanthera_ficoidea",1442
"Alternanthera_philoxeroides",683
"Alternanthera_pungens",555
"Alysicarpus",1238
"Amaranthus_albus",1274
"Amaranthus_powellii",1067
"Amaranthus_retroflexus",907
"Amaranthus_spinosus",1136
"Amaranthus_viridis",950
"Ambrosia_artemisiifolia",946
"Ambrosia_confertiflora",941
"Ambrosia_psilostachya",916
"Ambrosia_tenuifolia",400
"Ammi_majus",950
"Amsinckia_calycina",798
"Andropogon_gayanus",441
"Anigozanthos_flavidus",539
"Annona_glabra",708
"Anredera_cordifolia",666
"Anthoxanthum_odoratum",1111
"Antigonon_leptopus",952
"Araujia_sericifera",929
"Arbutus_unedo",1037
"Arctotheca_calendula",1160
"Ardisia_elliptica",952
"Argemone_mexicana",969
"Argemone_ochroleuca",957
"Aristea_ecklonii",1312
"Aristolochia_littoralis",1097
"Aristotelia_chilensis",1135
"Artemisia_verlotiorum",1184
"Arum_italicum",834
"Arundo_donax",938
"Asclepias_curassavica",888
"Asparagus_aethiopicus",961
"Asparagus_africanus",595
"Asparagus_asparagoides",966
"Asparagus_declinatus",974
"Asparagus_falcatus",954
"Asparagus_macowanii",350
"Asparagus_plumosus",950
"Asparagus_scandens",951
"Asparagus_virgatus",497
"Asphodelus_fistulosus",959
"Asystasia_gangetica_subsp_micrantha",431
"Atriplex_prostrata",963
"Austrocylindropuntia_cylindrica",976
"Austrocylindropuntia_subulata",978
"Austroeupatorium_inulifolium",1371
"Austrostipa_stipoides",636
"Avena",428
"Axonopus_compressus",965
"Azadirachta_indica",437
"Azolla",983
"Baccharis_halimifolia",968
"Barleria_lupulina",372
"Barleria_prionitis",691
"Bassia_scoparia",950
"Bellardia_viscosa",1180
"Bellis_perennis",955
"Berberis_oiwakensis",891
"Berkheya_rigida",957
"Biancaea_decapetala",104
"Bidens_pilosa",958
"Billardiera_cymosa",1022
"Billardiera_fusiformis",976
"Billardiera_heterophylla",818
"Bothriochloa",1109
"Brachypodium_distachyon",490
"Brassica_fruticulosa",782
"Brassica_tournefortii",1048
"Briza_maxima",1073
"Bromus_catharticus",1231
"Bromus_diandrus",932
"Bromus_hordeaceus",964
"Broussonetia_papyrifera",976
"Bryophyllum_delagoense",967
"Bryophyllum_pinnatum",400
"Bryophyllum_x_houghtonii",982
"Bulbine_frutescens",753
"Bursaria_spinosa",974
"Cabomba_caroliniana",870
"Cakile_maritima",943
"Calamagrostis_epigejos",1019
"Calicotome_spinosa",1297
"Callisia_fragrans",1130
"Callisia_repens",998
"Calluna_vulgaris",1238
"Calotropis_procera",976
"Calyptocarpus_vialis",1139
"Calystegia_sepium",961
"Campsis_radicans",942
"Canna_indica",978
"Capsella_bursa-pastoris",592
"Cardamine_hirsuta",970
"Cardiospermum_grandiflorum",955
"Carduus_nutans",979
"Carduus_pycnocephalus",1232
"Carduus_tenuiflorus",1588
"Carex_distans",757
"Carex_divisa",522
"Carex_flacca",1140
"Carex_kobomugi",399
"Carex_leporina",1140
"Carex_tribuloides",682
"Carrichtera_annua",1463
"Carthamus_lanatus",967
"Cascabela_thevetia",946
"Cassinia_aculeata",1615
"Cassinia_longifolia",956
"Cassinia_sifton",1462
"Cassytha_filiformis",914
"Cassytha_melantha",1455
"Cassytha_pubescens",1574
"Casuarina_equisetifolia",910
"Casuarina_glauca",1440
"Catharanthus_roseus",981
"Cayratia_clematidea",1129
"Cecropia_peltata",1382
"Celtis_australis",1297
"Celtis_sinensis",834
"Cenchrus_alopecuroides",1187
"Cenchrus_caudatus",591
"Cenchrus_ciliaris",443
"Cenchrus_clandestinus",1064
"Cenchrus_echinatus",1014
"Cenchrus_longisetus",1425
"Cenchrus_longispinus",1553
"Cenchrus_pedicellatus",510
"Cenchrus_polystachios",242
"Cenchrus_purpureus",960
"Cenchrus_setaceus",929
"Cenchrus_spinifex",1346
"Centaurea_calcitrapa",958
"Centaurea_solstitialis",1250
"Centaurea_stoebe",956
"Centaurea_x_moncktonii",498
"Centaurium_erythraea",962
"Centella",966
"Cerastium_glomeratum",913
"Cereus_uruguayanus",150
"Cestrum_elegans",441
"Cestrum_parqui",975
"Chaetogastra_herbacea",182
"Chamaecrista_rotundifolia",958
"Chamaecytisus_proliferus",976
"Chasmanthe_bicolor",639
"Chasmanthe_floribunda",980
"Chenopodium_album",935
"Chenopodium_capitatum",1319
"Chenopodium_murale",1212
"Chloris_barbata",905
"Chloris_gayana",931
"Chloris_truncata",888
"Chloris_virgata",919
"Chondrilla_juncea",937
"Chorispora_tenella",961
"Chromolaena_odorata",582
"Chrysocephalum_apiculatum",933
"Cichorium_intybus",951
"Cinnamomum_camphora",145
"Cirsium_arvense",956
"Cirsium_vulgare",524
"Cistus_creticus",1033
"Citrullus_amarus",660
"Citrullus_colocynthis",737
"Citrullus_lanatus",961
"Clematis_microphylla",958
"Clematis_vitalba",948
"Cleretum_papulosum",238
"Clerodendrum_paniculatum",1229
"Clerodendrum_speciosissimum",380
"Clitoria_ternatea",834
"Coleus_graveolens",391
"Commelina_benghalensis",763
"Commelina_cyanea",719
"Commelina_diffusa",703
"Conium_maculatum",971
"Convolvulus_arvensis",939
"Coprosma_repens",966
"Coprosma_robusta",977
"Cordia_curassavica",967
"Coreopsis_lanceolata",962
"Cortaderia",737
"Cotoneaster_franchetii",925
"Cotoneaster_glaucophyllus",968
"Cotoneaster_pannosus",973
"Cotoneaster_simonsii",858
"Cotula_australis",537
"Cotula_turbinata",463
"Crassocephalum_crepidioides",967
"Crassula_colorata",407
"Crataegus_monogyna",967
"Crepis_capillaris",899
"Crocosmia_×_crocosmiiflora",971
"Crotalaria_incana",457
"Crotalaria_lanceolata",638
"Crotalaria_pallida",957
"Croton_hirtus",526
"Cryptostegia_grandiflora",959
"Cryptostegia_madagascariensis",604
"Cucumis_myriocarpus",739
"Cupaniopsis_anacardioides",729
"Cuscuta_campestris",919
"Cyanthillium_cinereum",697
"Cyathea_cooperi",969
"Cycloloma_atriplicifolium",780
"Cyclospermum_leptophyllum",609
"Cylindropuntia_fulgida",518
"Cylindropuntia_imbricata",431
"Cylindropuntia_kleiniae",565
"Cylindropuntia_leptocaulis",604
"Cylindropuntia_pallida",327
"Cylindropuntia_prolifera",604
"Cylindropuntia_tunicata",974
"Cymbopogon_refractus",743
"Cynara_cardunculus",965
"Cynodon_dactylon",471
"Cynoglossum_creticum",463
"Cyperus_alterniflorus",987
"Cyperus_aromaticus",687
"Cyperus_brevifolius",565
"Cyperus_eragrostis",960
"Cyperus_esculentus",837
"Cyperus_rotundus",705
"Cyperus_sesquiflorus",647
"Cytisus_multiflorus",711
"Cytisus_scoparius",948
"Cytisus_striatus",712
"Dactylis_glomerata",435
"Dactyloctenium_aegyptium",542
"Dactyloctenium_radulans",568
"Datura_ferox",969
"Datura_innoxia",348
"Datura_stramonium",527
"Daucus_carota",606
"Delairea_odorata",968
"Delonix_regia",924
"Desmanthus_pernambucanus",320
"Desmodium_incanum",633
"Desmodium_rhytidophyllum",795
"Desmodium_tortuosum",854
"Desmodium_uncinatum",551
"Dichondra_repens",333
"Dietes_iridioides",559
"Digitalis_purpurea",595
"Digitaria_insularis",463
"Digitaria_sanguinalis",509
"Dimorphotheca_ecklonis",956
"Diplotaxis_tenuifolia",958
"Dipogon_lignosus",971
"Dipsacus_fullonum",946
"Disa_bracteata",566
"Disphyma_crassifolium",960
"Distichlis_spicata",964
"Distimake_aegyptius",944
"Dittrichia_graveolens",549
"Dittrichia_viscosa",641
"Dolichandra_unguis-cati",507
"Dovyalis_caffra",15
"Dracaena_trifasciata",985
"Drymaria_cordata",519
"Duma_florulenta",930
"Duranta_erecta",963
"Dyschoriste_depressa",468
"Dysphania_pumilio",599
"Echinochloa_colona",947
"Echinochloa_crus-galli",420
"Echium_plantagineum",813
"Echium_vulgare",695
"Eclipta_prostrata",970
"Egeria_densa",248
"Ehrharta_erecta",810
"Ehrharta_longiflora",770
"Ehrharta_villosa",248
"Eleocharis_pusilla",547
"Elephantopus_mollis",505
"Eleusine_indica",554
"Elodea_canadensis",774
"Emilia_sonchifolia",555
"Enchylaena_tomentosa",958
"Epilobium_billardiereanum",533
"Epilobium_hirsutum",839
"Equisetum",846
"Equisetum_arvense",976
"Eragrostis_brownii",524
"Eragrostis_cilianensis",922
"Eragrostis_curvula",916
"Eragrostis_tenuifolia",532
"Erica_arborea",471
"Erica_baccans",958
"Erica_cinerea",586
"Erica_glandulosa",297
"Erica_lusitanica",516
"Erica_mauritanica",581
"Erica_quadrangularis",788
"Erica_scoparia",617
"Erica_vagans",606
"Erigeron_bonariensis",756
"Erigeron_canadensis",934
"Erigeron_sumatrensis",947
"Erodium_botrys",952
"Erodium_cicutarium",535
"Erodium_crinitum",713
"Erodium_moschatum",958
"Eryngium_ovinum",946
"Erythrina_crista_galli",965
"Euchiton_japonicus",511
"Euchiton_sphaericus",666
"Eugenia_uniflora",957
"Euphorbia_cyathophora",753
"Euphorbia_esula",38
"Euphorbia_heterophylla",954
"Euphorbia_hirta",555
"Euphorbia_hyssopifolia",646
"Euphorbia_lathyris",810
"Euphorbia_maculata",593
"Euphorbia_oblongata",971
"Euphorbia_ophthalmica",638
"Euphorbia_paralias",790
"Euphorbia_peplus",547
"Euphorbia_platyphyllos",495
"Euphorbia_prostrata",572
"Euphorbia_terracina",466
"Eustrephus_latifolius",576
"Fallopia_japonica",907
"Ficinia_nodosa",562
"Ficus_carica",493
"Foeniculum_vulgare",958
"Fraxinus_angustifolia",968
"Fraxinus_griffithii",562
"Fraxinus_ornus",642
